Time Heading Pitch Roll AccelX AccelY AccelZ GravityX GravityY GravityZ
26.368 0.00 0.10 2.19 0.00 -0.04 -0.13 -0.01 0.37 9.79
26.485 0.00 0.10 2.19 0.00 -0.02 -0.11 -0.01 0.37 9.79
26.686 0.00 0.10 2.19 0.01 -0.04 -0.12 -0.01 0.37 9.79
26.697 0.00 0.10 2.19 0.01 -0.03 -0.11 -0.01 0.37 9.79
26.885 0.00 0.10 2.19 -0.01 -0.03 -0.13 -0.01 0.37 9.79
26.897 0.00 0.10 2.19 0.00 -0.04 -0.12 -0.01 0.37 9.79
26.944 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
27.103 0.00 0.10 2.19 0.01 -0.03 -0.12 -0.01 0.37 9.79
27.160 0.00 0.10 2.19 0.00 -0.04 -0.12 -0.01 0.37 9.79
27.407 0.00 0.10 2.19 -0.01 -0.05 -0.12 -0.01 0.37 9.79
27.416 0.00 0.10 2.19 0.01 -0.03 -0.11 -0.01 0.37 9.79
27.458 0.00 0.10 2.19 0.00 -0.03 -0.12 -0.01 0.37 9.79
27.714 0.00 0.10 2.19 0.00 -0.04 -0.13 -0.01 0.37 9.79
27.721 0.00 0.10 2.19 0.00 -0.01 -0.13 -0.01 0.37 9.79
27.809 0.00 0.10 2.19 0.01 -0.02 -0.13 -0.01 0.37 9.79
27.864 0.00 0.10 2.19 0.00 -0.01 -0.12 -0.01 0.37 9.79
28.027 0.00 0.10 2.19 0.01 -0.03 -0.12 -0.01 0.37 9.79
28.225 0.00 0.10 2.19 0.02 -0.02 -0.13 -0.01 0.37 9.79
28.234 0.00 0.10 2.19 0.01 -0.02 -0.11 -0.01 0.37 9.79
28.283 0.00 0.10 2.19 0.02 -0.03 -0.10 -0.01 0.37 9.79
28.341 0.00 0.10 2.19 0.00 -0.04 -0.13 -0.01 0.37 9.79
28.448 0.00 0.10 2.19 0.00 -0.03 -0.12 -0.01 0.37 9.79
28.633 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
28.755 0.00 0.10 2.19 0.01 -0.02 -0.11 -0.01 0.37 9.79
28.808 0.00 0.10 2.19 0.00 -0.03 -0.13 -0.01 0.37 9.79
28.944 0.00 0.10 2.19 0.00 -0.03 -0.11 -0.01 0.37 9.79
28.950 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
29.047 0.00 0.10 2.19 0.01 -0.03 -0.12 -0.01 0.37 9.79
29.151 0.00 0.10 2.19 0.00 -0.02 -0.11 -0.01 0.37 9.79
29.353 0.00 0.10 2.19 0.01 -0.03 -0.11 -0.01 0.37 9.79
29.362 0.00 0.10 2.19 0.00 -0.04 -0.14 -0.01 0.37 9.79
29.463 0.00 0.10 2.19 0.01 -0.02 -0.12 -0.01 0.37 9.79
29.649 0.00 0.10 2.19 0.00 -0.06 -0.13 -0.01 0.37 9.79
29.659 0.00 0.10 2.19 0.01 -0.03 -0.12 -0.01 0.37 9.79
29.860 0.00 0.10 2.19 0.00 -0.03 -0.13 -0.01 0.37 9.79
29.872 0.00 0.10 2.19 -0.01 -0.03 -0.11 -0.01 0.37 9.79
29.964 0.00 0.10 2.19 0.01 -0.03 -0.14 -0.01 0.37 9.79
30.057 0.00 0.10 2.19 0.01 -0.03 -0.12 -0.01 0.37 9.79
30.154 0.00 0.10 2.19 0.00 -0.03 -0.10 -0.01 0.37 9.79
30.273 0.00 0.10 2.19 0.01 -0.01 -0.10 -0.01 0.37 9.79
30.375 0.00 0.10 2.19 -0.01 0.00 -0.12 -0.01 0.37 9.79
30.480 0.00 0.10 2.19 0.00 -0.02 -0.13 -0.01 0.37 9.79
30.592 0.00 0.10 2.19 0.00 -0.03 -0.12 -0.01 0.37 9.79
30.685 0.00 0.10 2.19 0.00 -0.03 -0.13 -0.01 0.37 9.79
30.781 0.00 0.10 2.19 0.01 -0.02 -0.13 -0.01 0.37 9.79
30.884 0.00 0.10 2.19 0.01 -0.01 -0.10 -0.01 0.37 9.79
31.083 0.00 0.10 2.19 0.01 -0.03 -0.13 -0.01 0.37 9.79
31.090 0.00 0.10 2.19 -0.01 -0.04 -0.11 -0.01 0.37 9.79
31.195 0.00 0.10 2.19 0.00 -0.05 -0.12 -0.01 0.37 9.79
31.247 0.00 0.10 2.19 0.00 -0.03 -0.13 -0.01 0.37 9.79
31.504 0.00 0.10 2.19 0.01 -0.04 -0.10 -0.01 0.37 9.79
31.513 0.00 0.10 2.19 0.00 -0.01 -0.14 -0.01 0.37 9.79
31.612 0.00 0.10 2.19 0.01 -0.03 -0.13 -0.01 0.37 9.79
31.663 0.00 0.10 2.19 0.01 -0.04 -0.12 -0.01 0.37 9.79
31.806 0.00 0.10 2.19 0.01 -0.01 -0.12 -0.01 0.37 9.79
32.009 0.00 0.10 2.19 0.02 -0.02 -0.12 -0.01 0.37 9.79
32.020 0.00 0.10 2.19 0.01 -0.02 -0.12 -0.01 0.37 9.79
32.115 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
32.214 0.00 0.10 2.19 0.00 -0.03 -0.12 -0.01 0.37 9.79
32.324 0.00 0.10 2.19 0.00 -0.01 -0.12 -0.01 0.37 9.79
32.372 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
32.493 0.00 0.10 2.19 0.01 -0.01 -0.12 -0.01 0.37 9.79
32.552 0.00 0.10 2.19 0.01 -0.02 -0.12 -0.01 0.37 9.79
32.724 0.00 0.10 2.19 0.00 -0.02 -0.13 -0.01 0.37 9.79
32.823 0.00 0.10 2.19 0.00 -0.01 -0.10 -0.01 0.37 9.79
32.875 0.00 0.10 2.19 0.00 -0.03 -0.12 -0.01 0.37 9.79
33.035 0.00 0.10 2.19 0.00 -0.03 -0.13 -0.01 0.37 9.79
33.079 0.00 0.10 2.19 0.00 -0.05 -0.13 -0.01 0.37 9.79
33.247 0.00 0.10 2.19 0.00 -0.03 -0.12 -0.01 0.37 9.79
33.258 0.00 0.10 2.19 0.00 -0.02 -0.14 -0.01 0.37 9.79
33.442 0.00 0.10 2.19 0.01 -0.02 -0.11 -0.01 0.37 9.79
33.450 0.00 0.10 2.19 0.18 -0.11 0.11 -0.01 0.37 9.79
33.553 0.00 0.10 2.19 -0.07 -0.04 -0.06 -0.01 0.37 9.79
33.754 0.21 0.91 2.53 -0.19 0.22 -0.36 -0.15 0.43 9.79
33.763 0.76 2.00 2.38 0.10 -0.36 -0.27 -0.34 0.40 9.79
33.957 4.41 2.39 0.82 -0.54 0.46 -1.64 -0.40 0.14 9.79
33.965 12.10 4.38 -0.23 0.81 -0.36 0.15 -0.74 -0.03 9.77
34.159 21.15 -0.17 -1.25 0.41 0.44 -0.40 0.02 -0.21 9.80
34.167 33.43 -2.55 1.72 0.68 0.01 0.74 0.43 0.29 9.79
34.263 45.03 -4.51 2.28 0.06 0.10 -0.07 0.77 0.38 9.76
34.464 54.84 -4.88 2.82 -0.05 0.37 -0.18 0.83 0.48 9.75
34.473 60.43 -3.41 4.57 -0.44 0.28 -1.20 0.58 0.78 9.75
34.569 62.85 -0.76 3.60 -0.35 -1.07 0.00 0.12 0.61 9.78
34.769 65.26 0.96 2.93 0.07 -0.53 0.39 -0.16 0.50 9.79
34.778 65.55 0.07 1.99 0.12 0.05 -0.58 0.00 0.26 9.80
34.974 65.54 -0.42 1.95 0.08 0.19 -0.14 0.03 0.33 9.79
34.980 65.54 -0.22 2.16 0.01 0.09 -0.13 0.03 0.37 9.79
35.080 66.62 -0.23 2.17 -0.01 0.06 -0.12 0.03 0.37 9.79
35.185 66.54 -0.23 2.17 0.00 0.06 -0.13 0.03 0.37 9.79
35.388 66.54 -0.23 2.17 0.00 0.07 -0.12 0.03 0.37 9.79
35.400 66.54 -0.23 2.17 0.00 0.08 -0.14 0.03 0.37 9.79
