Time (s),RPM1,RPM2,RPM3,dt (s),Vx (m/s),Vy (m/s),Omega (rad/s),X (m),Y (m),Theta (rad)
3.91,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
3.912,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
3.914,0.0,0.0,0.0,0.002000000000000224,0.0,0.0,0.0,0.0,0.0,0.0
3.916,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
3.917,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
3.918,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
3.919,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
3.92,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
4.003,0.0,0.0,0.0,0.08300000000000018,0.0,0.0,0.0,0.0,0.0,0.0
4.004,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
4.006,0.0,0.0,0.0,0.002000000000000668,0.0,0.0,0.0,0.0,0.0,0.0
4.007,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
4.008,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.052,0.0,0.0,0.0,0.043999999999999595,0.0,0.0,0.0,0.0,0.0,0.0
4.053,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.208,0.0,0.0,0.0,0.15500000000000025,0.0,0.0,0.0,0.0,0.0,0.0
4.209,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
4.211,0.0,0.0,0.0,0.002000000000000668,0.0,0.0,0.0,0.0,0.0,0.0
4.212,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
4.215,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
4.217,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
4.218,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.219,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.413,0.0,0.0,0.0,0.19399999999999995,0.0,0.0,0.0,0.0,0.0,0.0
4.415,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
4.416,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.417,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
4.419,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
4.42,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.421,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
